drug	organism	mg_per_L	comment
Ceftazidime	Pseudomonas aeruginosa	8	
Ceftobiprole	Pseudomonas aeruginosa	NA	missing
Ceftriaxone	Pseudomonas aeruginosa	NA	missing
Ciprofloxacin	Pseudomonas aeruginosa	0.5	
Clinafloxacin	Pseudomonas aeruginosa	NA	missing
Colistin	Pseudomonas aeruginosa	4	
Doripenem	Pseudomonas aeruginosa	1	
Ertapenem	Pseudomonas aeruginosa	NA	missing
Fosfomycin	Pseudomonas aeruginosa	NA	missing
Gatifloxacin	Pseudomonas aeruginosa	NA	missing
Gemifloxacin	Pseudomonas aeruginosa	NA	missing
Gentamicin	Pseudomonas aeruginosa	8	
Imipenem	Pseudomonas aeruginosa	4	
Kanamycin	Pseudomonas aeruginosa	NA	missing
Levofloxacin	Pseudomonas aeruginosa	2	
Meropenem	Pseudomonas aeruginosa	2	
Moxifloxacin	Pseudomonas aeruginosa	4	
Netilmicin	Pseudomonas aeruginosa	4	
Norfloxacin	Pseudomonas aeruginosa	2	
Ofloxacin	Pseudomonas aeruginosa	2	
Piperacillin	Pseudomonas aeruginosa	16	
Piperacillin-Tazobactam	Pseudomonas aeruginosa	16	
Sparfloxacin	Pseudomonas aeruginosa	NA	missing
Sulbactam	Pseudomonas aeruginosa	NA	missing
Tetracycline	Pseudomonas aeruginosa	NA	missing
Ticarcillin	Pseudomonas aeruginosa	NA	missing
Ticarcillin-Clavulanic acid	Pseudomonas aeruginosa	16	
Tigecycline	Pseudomonas aeruginosa	64	
Tobramycin	Pseudomonas aeruginosa	2	
Trimethoprim-Sulfamethoxazole	Pseudomonas aeruginosa	NA	missing
Ampicillin-Sulbactam (ratio)	Pseudomonas fluorescens group	NA	missing
Cefepime	Pseudomonas fluorescens group	NA	missing
Ceftazidime	Pseudomonas fluorescens group	8	
Ceftobiprole	Pseudomonas fluorescens group	NA	missing
Ceftriaxone	Pseudomonas fluorescens group	NA	missing
Ciprofloxacin	Pseudomonas fluorescens group	NA	missing
Imipenem	Pseudomonas fluorescens group	4	
Levofloxacin	Pseudomonas fluorescens group	NA	missing
Meropenem	Pseudomonas fluorescens group	NA	missing
Piperacillin	Pseudomonas fluorescens group	NA	missing
Piperacillin-Tazobactam	Pseudomonas fluorescens group	16	
Ticarcillin	Pseudomonas fluorescens group	NA	missing
Ticarcillin-Clavulanic acid	Pseudomonas fluorescens group	16	
Ampicillin-Sulbactam (ratio)	Pseudomonas putida group	NA	missing
Imipenem	Pseudomonas stutzeri group	NA	missing
Piperacillin	Pseudomonas stutzeri group	NA	missing
Piperacillin-Tazobactam	Pseudomonas stutzeri group	NA	missing
Ampicillin	Raoultella spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Raoultella spp	NA	missing
Chloramphenicol	Raoultella spp	NA	missing
Ciprofloxacin	Raoultella spp	NA	missing
Colistin	Raoultella spp	NA	missing
Gentamicin	Raoultella spp	NA	missing
Nalidixic acid	Raoultella spp	NA	missing
Piperacillin-Tazobactam	Raoultella spp	NA	missing
Streptomycin	Raoultella spp	NA	missing
Tetracycline	Raoultella spp	NA	missing
Colistin	Salmonella dublin	NA	missing
Ampicillin	Salmonella enteritidis	8	
Ampicillin-Sulbactam (ratio)	Salmonella enteritidis	NA	missing
Cefoperazone	Salmonella enteritidis	NA	missing
Cefoxitin	Salmonella enteritidis	8	
Ceftobiprole	Salmonella enteritidis	NA	missing
Cefuroxime	Salmonella enteritidis	16	
Colistin	Salmonella enteritidis	NA	missing
Imipenem	Salmonella enteritidis	NA	missing
Meropenem	Salmonella enteritidis	0.125	
Piperacillin	Salmonella enteritidis	NA	missing
Piperacillin-Tazobactam	Salmonella enteritidis	8	
Ticarcillin	Salmonella enteritidis	NA	missing
Ticarcillin-Clavulanic acid	Salmonella enteritidis	NA	missing
Tigecycline	Salmonella enteritidis	1	
Ampicillin-Sulbactam (ratio)	Salmonella group B	NA	missing
Ticarcillin-Clavulanic acid	Salmonella group B	NA	missing
Ampicillin-Sulbactam (ratio)	Salmonella group C	NA	missing
Ticarcillin-Clavulanic acid	Salmonella group C	NA	missing
Ampicillin-Sulbactam (ratio)	Salmonella group D	NA	missing
Ticarcillin-Clavulanic acid	Salmonella group D	NA	missing
Ampicillin	Salmonella paratyphi	8	
Ampicillin-Sulbactam (ratio)	Salmonella paratyphi	NA	missing
Cefoperazone	Salmonella paratyphi	NA	missing
Imipenem	Salmonella paratyphi	NA	missing
Piperacillin	Salmonella paratyphi	NA	missing
Ticarcillin	Salmonella paratyphi	NA	missing
Ticarcillin-Clavulanic acid	Salmonella paratyphi	NA	missing
Tigecycline	Salmonella paratyphi	1	
Amikacin	Salmonella spp	NA	missing
Amoxicillin	Salmonella spp	4	
Ampicillin	Salmonella spp	8	
Azithromycin	Salmonella spp	NA	missing
Aztreonam	Salmonella spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Salmonella spp	16	
Cefazolin	Salmonella spp	NA	missing
Cefoperazone	Salmonella spp	NA	missing
Cefotaxime	Salmonella spp	0.5	
Cefoxitin	Salmonella spp	8	
Ceftazidime	Salmonella spp	2	
Ceftiofur	Salmonella spp	2	
Ceftobiprole	Salmonella spp	NA	missing
Cefuroxime	Salmonella spp	16	
Chloramphenicol	Salmonella spp	16	
Ciprofloxacin	Salmonella spp	0.064	
Colistin	Salmonella spp	2	
Doxycycline	Salmonella spp	8	
Enrofloxacin	Salmonella spp	NA	missing
Ertapenem	Salmonella spp	0.064	
Florfenicol	Salmonella spp	16	
Flumequine	Salmonella spp	2	
Gatifloxacin	Salmonella spp	0.25	
Gentamicin	Salmonella spp	2	
Imipenem	Salmonella spp	1	
Kanamycin	Salmonella spp	NA	missing
Levofloxacin	Salmonella spp	0.25	
Mecillinam	Salmonella spp	NA	missing
Meropenem	Salmonella spp	0.125	
Nalidixic acid	Salmonella spp	16	
Neomycin	Salmonella spp	4	
Ofloxacin	Salmonella spp	0.25	
Piperacillin	Salmonella spp	NA	missing
Piperacillin-Tazobactam	Salmonella spp	8	
Sparfloxacin	Salmonella spp	NA	missing
Spectinomycin	Salmonella spp	NA	missing
Streptomycin	Salmonella spp	16	
Sulfamethoxazole	Salmonella spp	NA	missing
Tetracycline	Salmonella spp	8	
Ticarcillin	Salmonella spp	NA	missing
Ticarcillin-Clavulanic acid	Salmonella spp	NA	missing
Trimethoprim	Salmonella spp	2	
Trimethoprim-Sulfamethoxazole	Salmonella spp	1	
Ampicillin	Salmonella typhi	8	
Ampicillin-Sulbactam (ratio)	Salmonella typhi	NA	missing
Azithromycin	Salmonella typhi	NA	missing
Cefoxitin	Salmonella typhi	8	
Ceftobiprole	Salmonella typhi	NA	missing
Cefuroxime	Salmonella typhi	16	
Imipenem	Salmonella typhi	NA	missing
Meropenem	Salmonella typhi	0.125	
Piperacillin	Salmonella typhi	NA	missing
Piperacillin-Tazobactam	Salmonella typhi	8	
Sparfloxacin	Salmonella typhi	NA	missing
Ticarcillin	Salmonella typhi	NA	missing
Tigecycline	Salmonella typhi	1	
Ampicillin	Salmonella typhimurium	8	
Ampicillin-Sulbactam (ratio)	Salmonella typhimurium	NA	missing
Cefoxitin	Salmonella typhimurium	8	
Ceftobiprole	Salmonella typhimurium	NA	missing
Cefuroxime	Salmonella typhimurium	16	
Colistin	Salmonella typhimurium	NA	missing
Imipenem	Salmonella typhimurium	NA	missing
Meropenem	Salmonella typhimurium	0.125	
Piperacillin	Salmonella typhimurium	NA	missing
Piperacillin-Tazobactam	Salmonella typhimurium	8	
Ticarcillin	Salmonella typhimurium	NA	missing
Ticarcillin-Clavulanic acid	Salmonella typhimurium	NA	missing
Tigecycline	Salmonella typhimurium	1	
Amikacin	Serratia liquefaciens	NA	missing
Amoxicillin	Serratia liquefaciens	NA	missing
Ampicillin	Serratia liquefaciens	NA	missing
Ampicillin-Sulbactam (ratio)	Serratia liquefaciens	NA	missing
Cefalothin (a.k.a. Cefalotin)	Serratia liquefaciens	NA	missing
Cefpodoxime	Serratia liquefaciens	NA	missing
Cefpodoxime-Clavulanic acid	Serratia liquefaciens	NA	missing
Ceftobiprole	Serratia liquefaciens	NA	missing
Cefuroxime	Serratia liquefaciens	NA	missing
Chloramphenicol	Serratia liquefaciens	NA	missing
Ciprofloxacin	Serratia liquefaciens	NA	missing
Colistin	Serratia liquefaciens	NA	missing
Doripenem	Serratia liquefaciens	0.5	
Gentamicin	Serratia liquefaciens	2	
Imipenem	Serratia liquefaciens	2	
Mecillinam	Serratia liquefaciens	NA	missing
Meropenem	Serratia liquefaciens	0.25	
Minocycline	Serratia liquefaciens	64	
Nalidixic acid	Serratia liquefaciens	NA	missing
Norfloxacin	Serratia liquefaciens	NA	missing
Piperacillin	Serratia liquefaciens	NA	missing
Piperacillin-Tazobactam	Serratia liquefaciens	8	
Streptomycin	Serratia liquefaciens	NA	missing
Tetracycline	Serratia liquefaciens	NA	missing
Tobramycin	Serratia liquefaciens	4	
Trimethoprim-Sulfamethoxazole	Serratia liquefaciens	1	
Amikacin	Serratia marcescens	8	
Ampicillin	Serratia marcescens	NA	missing
Ampicillin-Sulbactam (ratio)	Serratia marcescens	NA	missing
Aztreonam	Serratia marcescens	NA	missing
Cefazolin	Serratia marcescens	NA	missing
Cefepime	Serratia marcescens	0.125	
Cefoperazone	Serratia marcescens	NA	missing
Cefotaxime	Serratia marcescens	1	
Cefoxitin	Serratia marcescens	NA	missing
Cefpodoxime	Serratia marcescens	NA	missing
Cefpodoxime-Clavulanic acid	Serratia marcescens	NA	missing
Ceftazidime	Serratia marcescens	0.5	
Ceftibuten	Serratia marcescens	NA	missing
Ceftobiprole	Serratia marcescens	NA	missing
Ceftriaxone	Serratia marcescens	NA	missing
Ciprofloxacin	Serratia marcescens	NA	missing
Colistin	Serratia marcescens	NA	missing
Doripenem	Serratia marcescens	0.5	
Doxycycline	Serratia marcescens	NA	missing
Ertapenem	Serratia marcescens	0.064	
Fosfomycin	Serratia marcescens	NA	missing
Gatifloxacin	Serratia marcescens	NA	missing
Gemifloxacin	Serratia marcescens	NA	missing
Gentamicin	Serratia marcescens	2	
Imipenem	Serratia marcescens	2	
Levofloxacin	Serratia marcescens	NA	missing
Mecillinam	Serratia marcescens	NA	missing
Meropenem	Serratia marcescens	0.25	
Moxifloxacin	Serratia marcescens	1	
Piperacillin	Serratia marcescens	NA	missing
Piperacillin-Tazobactam	Serratia marcescens	8	
Sulbactam	Serratia marcescens	NA	missing
Tetracycline	Serratia marcescens	NA	missing
Ticarcillin	Serratia marcescens	NA	missing
Ticarcillin-Clavulanic acid	Serratia marcescens	NA	missing
Tigecycline	Serratia marcescens	4	
Tobramycin	Serratia marcescens	4	
Trimethoprim	Serratia marcescens	NA	missing
Trimethoprim-Sulfamethoxazole	Serratia marcescens	1	
Amikacin	Serratia spp	NA	missing
Amoxicillin	Serratia spp	NA	missing
Ampicillin	Serratia spp	NA	missing
Ampicillin-Sulbactam (ratio)	Serratia spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Serratia spp	NA	missing
Cefotaxime	Serratia spp	1	
Cefoxitin	Serratia spp	NA	missing
Cefpirome	Serratia spp	NA	missing
Cefpodoxime	Serratia spp	NA	missing
Cefpodoxime-Clavulanic acid	Serratia spp	NA	missing
Ceftazidime	Serratia spp	0.5	
Ceftobiprole	Serratia spp	NA	missing
Chloramphenicol	Serratia spp	NA	missing
Ciprofloxacin	Serratia spp	NA	missing
Clinafloxacin	Serratia spp	NA	missing
Doripenem	Serratia spp	0.5	
Ertapenem	Serratia spp	0.064	
Florfenicol	Serratia spp	NA	missing
Gatifloxacin	Serratia spp	NA	missing
Gentamicin	Serratia spp	2	
Imipenem	Serratia spp	2	
Levofloxacin	Serratia spp	0.5	
Minocycline	Serratia spp	NA	missing
Moxifloxacin	Serratia spp	1	
Nalidixic acid	Serratia spp	NA	missing
Norfloxacin	Serratia spp	NA	missing
Ofloxacin	Serratia spp	1	
Piperacillin	Serratia spp	NA	missing
Piperacillin-Tazobactam	Serratia spp	8	
Sparfloxacin	Serratia spp	NA	missing
Spectinomycin	Serratia spp	NA	missing
Streptomycin	Serratia spp	NA	missing
Tetracycline	Serratia spp	32	
Tigecycline	Serratia spp	4	
Tobramycin	Serratia spp	4	
Trimethoprim	Serratia spp	NA	missing
Trimethoprim-Sulfamethoxazole	Serratia spp	1	
Azithromycin	Shigella boydii	NA	missing
Ciprofloxacin	Shigella boydii	NA	missing
Tigecycline	Shigella boydii	1	
Azithromycin	Shigella dysenteriae	NA	missing
Ciprofloxacin	Shigella dysenteriae	NA	missing
Tigecycline	Shigella dysenteriae	1	
Ampicillin	Shigella flexneri	8	
Ampicillin-Sulbactam (ratio)	Shigella flexneri	NA	missing
Azithromycin	Shigella flexneri	NA	missing
Cefazolin	Shigella flexneri	NA	missing
Cefoxitin	Shigella flexneri	8	
Cefuroxime	Shigella flexneri	8	
Ciprofloxacin	Shigella flexneri	NA	missing
Imipenem	Shigella flexneri	NA	missing
Meropenem	Shigella flexneri	NA	missing
Piperacillin	Shigella flexneri	NA	missing
Piperacillin-Tazobactam	Shigella flexneri	8	
Ticarcillin	Shigella flexneri	NA	missing
Ticarcillin-Clavulanic acid	Shigella flexneri	NA	missing
Tigecycline	Shigella flexneri	1	
Ampicillin	Shigella sonnei	8	
Ampicillin-Sulbactam (ratio)	Shigella sonnei	NA	missing
Azithromycin	Shigella sonnei	NA	missing
Cefoxitin	Shigella sonnei	8	
Cefuroxime	Shigella sonnei	8	
Ciprofloxacin	Shigella sonnei	NA	missing
Imipenem	Shigella sonnei	NA	missing
Meropenem	Shigella sonnei	NA	missing
Piperacillin	Shigella sonnei	NA	missing
Piperacillin-Tazobactam	Shigella sonnei	8	
Ticarcillin	Shigella sonnei	NA	missing
Ticarcillin-Clavulanic acid	Shigella sonnei	NA	missing
Tigecycline	Shigella sonnei	1	
Azithromycin	Shigella spp	NA	missing
Ciprofloxacin	Shigella spp	NA	missing
Ertapenem	Shigella spp	0.064	
Fosfomycin	Shigella spp	NA	missing
Gatifloxacin	Shigella spp	NA	missing
Imipenem	Shigella spp	1	
Ofloxacin	Shigella spp	NA	missing
Sparfloxacin	Shigella spp	NA	missing
Amikacin	Staphylococcus aureus	8	
Ampicillin	Staphylococcus aureus	NA	missing
Avilamycin	Staphylococcus aureus	NA	missing
Azithromycin	Staphylococcus aureus	2	
Benzylpenicillin	Staphylococcus aureus	0.125	
Cefaclor	Staphylococcus aureus	8	
Cefadroxil	Staphylococcus aureus	NA	missing
Cefalexin	Staphylococcus aureus	8	
Cefalothin (a.k.a. Cefalotin)	Staphylococcus aureus	1	
Cefazolin	Staphylococcus aureus	2	
Cefepime	Staphylococcus aureus	8	
Cefixime	Staphylococcus aureus	NA	missing
Cefoperazone	Staphylococcus aureus	8	
Cefotaxime	Staphylococcus aureus	4	
Cefotaxime-Clavulanate	Staphylococcus aureus	NA	missing
Cefoxitin	Staphylococcus aureus	4	
Cefpodoxime	Staphylococcus aureus	4	
Ceftaroline	Staphylococcus aureus	0.5	
Ceftiofur	Staphylococcus aureus	NA	missing
Ceftobiprole	Staphylococcus aureus	1	
Ceftriaxone	Staphylococcus aureus	8	
Cefuroxime	Staphylococcus aureus	4	
Chloramphenicol	Staphylococcus aureus	16	
Ciprofloxacin	Staphylococcus aureus	1	
Clarithromycin	Staphylococcus aureus	0.5	
Clinafloxacin	Staphylococcus aureus	0.25	
Clindamycin	Staphylococcus aureus	0.25	
Cloxacillin	Staphylococcus aureus	0.5	
Daptomycin	Staphylococcus aureus	1	
Doripenem	Staphylococcus aureus	0.125	
Doxycycline	Staphylococcus aureus	0.5	
Ertapenem	Staphylococcus aureus	1	
Erythromycin	Staphylococcus aureus	1	
Florfenicol	Staphylococcus aureus	8	
Fosfomycin	Staphylococcus aureus	32	
Fusidic acid	Staphylococcus aureus	0.5	
Gatifloxacin	Staphylococcus aureus	0.25	
Gemifloxacin	Staphylococcus aureus	0.125	
Gentamicin	Staphylococcus aureus	2	
Imipenem	Staphylococcus aureus	0.125	
Kanamycin	Staphylococcus aureus	8	
Levofloxacin	Staphylococcus aureus	1	
Lincomycin	Staphylococcus aureus	2	
Linezolid	Staphylococcus aureus	4	
Meropenem	Staphylococcus aureus	0.5	
Minocycline	Staphylococcus aureus	0.25	
Moxifloxacin	Staphylococcus aureus	0.25	
Mupirocin	Staphylococcus aureus	1	
Neomycin	Staphylococcus aureus	1	
Netilmicin	Staphylococcus aureus	1	
Nitrofurantoin	Staphylococcus aureus	32	
Norfloxacin	Staphylococcus aureus	4	
Ofloxacin	Staphylococcus aureus	1	
Oxacillin	Staphylococcus aureus	2	
Phenoxymethylpenicillin	Staphylococcus aureus	NA	missing
Piperacillin	Staphylococcus aureus	2	
Piperacillin-Tazobactam	Staphylococcus aureus	2	
Quinupristin-Dalfopristin	Staphylococcus aureus	1	
Retapamulin	Staphylococcus aureus	0.5	
Rifampicin	Staphylococcus aureus	0.032	
Roxithromycin	Staphylococcus aureus	1	
Sparfloxacin	Staphylococcus aureus	0.25	
Spectinomycin	Staphylococcus aureus	128	
Streptomycin	Staphylococcus aureus	16	
Sulbactam	Staphylococcus aureus	NA	missing
Sulfamethoxazole	Staphylococcus aureus	128	
Teicoplanin	Staphylococcus aureus	2	
Tetracycline	Staphylococcus aureus	1	
Tiamulin	Staphylococcus aureus	2	
Tigecycline	Staphylococcus aureus	0.5	
Tobramycin	Staphylococcus aureus	2	
Trimethoprim	Staphylococcus aureus	2	
Trimethoprim-Sulfamethoxazole	Staphylococcus aureus	0.5	
Vancomycin	Staphylococcus aureus	2	
Benzylpenicillin	Staphylococcus aureus MRSA	0.125	
Cefoxitin	Staphylococcus aureus MRSA	4	
Ceftaroline	Staphylococcus aureus MRSA	0.5	
Ceftobiprole	Staphylococcus aureus MRSA	1	
Ciprofloxacin	Staphylococcus aureus MRSA	NA	missing
Clarithromycin	Staphylococcus aureus MRSA	0.5	
Clindamycin	Staphylococcus aureus MRSA	0.25	
Daptomycin	Staphylococcus aureus MRSA	NA	missing
Doripenem	Staphylococcus aureus MRSA	NA	missing
Erythromycin	Staphylococcus aureus MRSA	1	
Fosfomycin	Staphylococcus aureus MRSA	NA	missing
Fusidic acid	Staphylococcus aureus MRSA	0.5	
Gentamicin	Staphylococcus aureus MRSA	2	
Linezolid	Staphylococcus aureus MRSA	NA	missing
Minocycline	Staphylococcus aureus MRSA	0.5	
Moxifloxacin	Staphylococcus aureus MRSA	NA	missing
Mupirocin	Staphylococcus aureus MRSA	1	
Oxacillin	Staphylococcus aureus MRSA	2	
Piperacillin-Tazobactam	Staphylococcus aureus MRSA	NA	missing
Retapamulin	Staphylococcus aureus MRSA	NA	missing
Rifampicin	Staphylococcus aureus MRSA	0.032	
Roxithromycin	Staphylococcus aureus MRSA	1	
Teicoplanin	Staphylococcus aureus MRSA	2	
Telithromycin	Staphylococcus aureus MRSA	NA	missing
Tetracycline	Staphylococcus aureus MRSA	1	
Tigecycline	Staphylococcus aureus MRSA	NA	missing
Trimethoprim	Staphylococcus aureus MRSA	2	
Vancomycin	Staphylococcus aureus MRSA	2	
Benzylpenicillin	Staphylococcus aureus MSSA	0.125	
Cefoxitin	Staphylococcus aureus MSSA	4	
Ceftaroline	Staphylococcus aureus MSSA	0.5	
Ceftobiprole	Staphylococcus aureus MSSA	1	
Ciprofloxacin	Staphylococcus aureus MSSA	NA	missing
Clarithromycin	Staphylococcus aureus MSSA	0.5	
Clindamycin	Staphylococcus aureus MSSA	0.25	
Daptomycin	Staphylococcus aureus MSSA	NA	missing
Doripenem	Staphylococcus aureus MSSA	0.125	
Erythromycin	Staphylococcus aureus MSSA	1	
Fusidic acid	Staphylococcus aureus MSSA	0.5	
Gentamicin	Staphylococcus aureus MSSA	2	
Linezolid	Staphylococcus aureus MSSA	NA	missing
Minocycline	Staphylococcus aureus MSSA	0.5	
Moxifloxacin	Staphylococcus aureus MSSA	NA	missing
Mupirocin	Staphylococcus aureus MSSA	1	
Oxacillin	Staphylococcus aureus MSSA	2	
Piperacillin-Tazobactam	Staphylococcus aureus MSSA	NA	missing
Retapamulin	Staphylococcus aureus MSSA	NA	missing
Rifampicin	Staphylococcus aureus MSSA	0.032	
Roxithromycin	Staphylococcus aureus MSSA	1	
Teicoplanin	Staphylococcus aureus MSSA	2	
Telithromycin	Staphylococcus aureus MSSA	NA	missing
Tetracycline	Staphylococcus aureus MSSA	1	
Tigecycline	Staphylococcus aureus MSSA	NA	missing
Trimethoprim	Staphylococcus aureus MSSA	2	
Vancomycin	Staphylococcus aureus MSSA	2	
Benzylpenicillin	Staphylococcus auricularis	NA	missing
Ciprofloxacin	Staphylococcus auricularis	NA	missing
Oxacillin	Staphylococcus auricularis	NA	missing
Amikacin	Staphylococcus capitis	NA	missing
Ampicillin	Staphylococcus capitis	NA	missing
Benzylpenicillin	Staphylococcus capitis	NA	missing
Cefazolin	Staphylococcus capitis	NA	missing
Cefepime	Staphylococcus capitis	NA	missing
Cefotaxime	Staphylococcus capitis	2	
Ceftobiprole	Staphylococcus capitis	NA	missing
Ceftriaxone	Staphylococcus capitis	NA	missing
Cefuroxime	Staphylococcus capitis	NA	missing
Ciprofloxacin	Staphylococcus capitis	1	
Daptomycin	Staphylococcus capitis	1	
Ertapenem	Staphylococcus capitis	NA	missing
Erythromycin	Staphylococcus capitis	1	
Gentamicin	Staphylococcus capitis	NA	missing
Imipenem	Staphylococcus capitis	NA	missing
Levofloxacin	Staphylococcus capitis	0.5	
Linezolid	Staphylococcus capitis	2	
Meropenem	Staphylococcus capitis	0.5	
Moxifloxacin	Staphylococcus capitis	0.25	
Netilmicin	Staphylococcus capitis	NA	missing
Oxacillin	Staphylococcus capitis	1	
Piperacillin-Tazobactam	Staphylococcus capitis	NA	missing
Quinupristin-Dalfopristin	Staphylococcus capitis	NA	missing
Roxithromycin	Staphylococcus capitis	1	
Teicoplanin	Staphylococcus capitis	NA	missing
Tobramycin	Staphylococcus capitis	NA	missing
Vancomycin	Staphylococcus capitis	4	
Amikacin	Staphylococcus coagulase negative	NA	missing
Ampicillin	Staphylococcus coagulase negative	NA	missing
Benzylpenicillin	Staphylococcus coagulase negative	NA	missing
Cefadroxil	Staphylococcus coagulase negative	NA	missing
Cefalexin	Staphylococcus coagulase negative	NA	missing
Cefalothin (a.k.a. Cefalotin)	Staphylococcus coagulase negative	NA	missing
Cefixime	Staphylococcus coagulase negative	NA	missing
Cefotaxime	Staphylococcus coagulase negative	2	
Ceftobiprole	Staphylococcus coagulase negative	NA	missing
Cefuroxime	Staphylococcus coagulase negative	NA	missing
Chloramphenicol	Staphylococcus coagulase negative	16	
Ciprofloxacin	Staphylococcus coagulase negative	1	
Clindamycin	Staphylococcus coagulase negative	0.25	
Daptomycin	Staphylococcus coagulase negative	1	
Doripenem	Staphylococcus coagulase negative	0.125	
Doxycycline	Staphylococcus coagulase negative	NA	missing
Ertapenem	Staphylococcus coagulase negative	1	
Erythromycin	Staphylococcus coagulase negative	1	
Fusidic acid	Staphylococcus coagulase negative	0.5	
Gatifloxacin	Staphylococcus coagulase negative	0.25	
Gemifloxacin	Staphylococcus coagulase negative	NA	missing
Gentamicin	Staphylococcus coagulase negative	0.5	
Imipenem	Staphylococcus coagulase negative	0.125	
Kanamycin	Staphylococcus coagulase negative	NA	missing
Levofloxacin	Staphylococcus coagulase negative	0.5	
Lincomycin	Staphylococcus coagulase negative	NA	missing
Linezolid	Staphylococcus coagulase negative	2	
Meropenem	Staphylococcus coagulase negative	0.5	
Minocycline	Staphylococcus coagulase negative	NA	missing
Moxifloxacin	Staphylococcus coagulase negative	0.25	
Neomycin	Staphylococcus coagulase negative	NA	missing
Netilmicin	Staphylococcus coagulase negative	NA	missing
Nitrofurantoin	Staphylococcus coagulase negative	NA	missing
Norfloxacin	Staphylococcus coagulase negative	4	
Ofloxacin	Staphylococcus coagulase negative	1	
Oxacillin	Staphylococcus coagulase negative	1	
Phenoxymethylpenicillin	Staphylococcus coagulase negative	NA	missing
Piperacillin	Staphylococcus coagulase negative	NA	missing
Piperacillin-Tazobactam	Staphylococcus coagulase negative	NA	missing
Quinupristin-Dalfopristin	Staphylococcus coagulase negative	NA	missing
Rifampicin	Staphylococcus coagulase negative	0.064	
Roxithromycin	Staphylococcus coagulase negative	1	
Sparfloxacin	Staphylococcus coagulase negative	NA	missing
Streptomycin	Staphylococcus coagulase negative	NA	missing
Sulbactam	Staphylococcus coagulase negative	NA	missing
Teicoplanin	Staphylococcus coagulase negative	NA	missing
Tetracycline	Staphylococcus coagulase negative	1	
Tigecycline	Staphylococcus coagulase negative	0.5	
Tobramycin	Staphylococcus coagulase negative	0.5	
Trimethoprim	Staphylococcus coagulase negative	NA	missing
Trimethoprim-Sulfamethoxazole	Staphylococcus coagulase negative	0.5	
Vancomycin	Staphylococcus coagulase negative	4	
Ceftobiprole	Staphylococcus coagulase negative MRSE	NA	missing
Ciprofloxacin	Staphylococcus coagulase negative MRSE	NA	missing
Clindamycin	Staphylococcus coagulase negative MRSE	0.25	
Daptomycin	Staphylococcus coagulase negative MRSE	NA	missing
Doripenem	Staphylococcus coagulase negative MRSE	NA	missing
Erythromycin	Staphylococcus coagulase negative MRSE	1	
Fusidic acid	Staphylococcus coagulase negative MRSE	0.5	
Gentamicin	Staphylococcus coagulase negative MRSE	0.5	
Linezolid	Staphylococcus coagulase negative MRSE	NA	missing
Minocycline	Staphylococcus coagulase negative MRSE	NA	missing
Mupirocin	Staphylococcus coagulase negative MRSE	NA	missing
Oxacillin	Staphylococcus coagulase negative MRSE	1	
Piperacillin-Tazobactam	Staphylococcus coagulase negative MRSE	NA	missing
Rifampicin	Staphylococcus coagulase negative MRSE	0.064	
Teicoplanin	Staphylococcus coagulase negative MRSE	NA	missing
Tetracycline	Staphylococcus coagulase negative MRSE	1	
Tigecycline	Staphylococcus coagulase negative MRSE	NA	missing
Trimethoprim	Staphylococcus coagulase negative MRSE	NA	missing
Vancomycin	Staphylococcus coagulase negative MRSE	4	
Ciprofloxacin	Staphylococcus cohnii	1	
Teicoplanin	Staphylococcus cohnii	NA	missing
Vancomycin	Staphylococcus cohnii	4	
Amikacin	Staphylococcus epidermidis	NA	missing
Ampicillin	Staphylococcus epidermidis	NA	missing
Benzylpenicillin	Staphylococcus epidermidis	NA	missing
Cefazolin	Staphylococcus epidermidis	NA	missing
Cefepime	Staphylococcus epidermidis	NA	missing
Cefotaxime	Staphylococcus epidermidis	2	
Ceftobiprole	Staphylococcus epidermidis	NA	missing
Ceftriaxone	Staphylococcus epidermidis	NA	missing
Chloramphenicol	Staphylococcus epidermidis	16	
Ciprofloxacin	Staphylococcus epidermidis	1	
Clarithromycin	Staphylococcus epidermidis	NA	missing
Clinafloxacin	Staphylococcus epidermidis	NA	missing
Clindamycin	Staphylococcus epidermidis	0.25	
Daptomycin	Staphylococcus epidermidis	1	
Doripenem	Staphylococcus epidermidis	0.125	
Ertapenem	Staphylococcus epidermidis	1	
Erythromycin	Staphylococcus epidermidis	1	
Fosfomycin	Staphylococcus epidermidis	NA	missing
Fusidic acid	Staphylococcus epidermidis	0.5	
Gatifloxacin	Staphylococcus epidermidis	0.25	
Gentamicin	Staphylococcus epidermidis	0.5	
Imipenem	Staphylococcus epidermidis	0.125	
Kanamycin	Staphylococcus epidermidis	NA	missing
Levofloxacin	Staphylococcus epidermidis	0.5	
Linezolid	Staphylococcus epidermidis	2	
Meropenem	Staphylococcus epidermidis	0.5	
Minocycline	Staphylococcus epidermidis	NA	missing
Moxifloxacin	Staphylococcus epidermidis	0.25	
Netilmicin	Staphylococcus epidermidis	NA	missing
Nitrofurantoin	Staphylococcus epidermidis	NA	missing
Ofloxacin	Staphylococcus epidermidis	1	
Oxacillin	Staphylococcus epidermidis	1	
